image_id,filename,path,source,domain_label,group_id,split,subcategory,width,height,channels,format,sha256
gz2_91946,gz2_91946.jpg,ml/data/domain_gate/astronomical/gz2_91946.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_91946,TRAIN,Galaxy Survey,424,424,3,JPEG,629c434b6eeb85073bb8a39749a1a95ed7423024fcea14ad515b0cfdb19b17c0
gz2_247666,gz2_247666.jpg,ml/data/domain_gate/astronomical/gz2_247666.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_247666,TRAIN,Galaxy Survey,424,424,3,JPEG,ae3f6f855c9a659416d64c548f4a580f849aac81206489065aaef6e40057b2d9
gz2_30124,gz2_30124.jpg,ml/data/domain_gate/astronomical/gz2_30124.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_30124,TRAIN,Galaxy Survey,424,424,3,JPEG,76f51280e57abd28ea92fbb4ae4531e55ce99f9a9b663d0e08c6ecbdd25a4823
gz2_266767,gz2_266767.jpg,ml/data/domain_gate/astronomical/gz2_266767.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_266767,TRAIN,Galaxy Survey,424,424,3,JPEG,2279ea0ed067541ac584132ad16566df642b13ed6f8587278546f94e398d32e9
gz2_178473,gz2_178473.jpg,ml/data/domain_gate/astronomical/gz2_178473.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_178473,TRAIN,Galaxy Survey,424,424,3,JPEG,73768c2bcda692b86852403bb699737b7155f44e301cabc1886a7983bfdca38c
gz2_247625,gz2_247625.jpg,ml/data/domain_gate/astronomical/gz2_247625.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_247625,TRAIN,Galaxy Survey,424,424,3,JPEG,611d950ad18d02aaf46bde64f139f8f7cdf9b571ef861c20ec26fab62ac52b6f
gz2_173891,gz2_173891.jpg,ml/data/domain_gate/astronomical/gz2_173891.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_173891,TRAIN,Galaxy Survey,424,424,3,JPEG,a2267041c04069d66462f44806bf628375fe34886366d0a6ca404acea8d2823c
gz2_215789,gz2_215789.jpg,ml/data/domain_gate/astronomical/gz2_215789.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_215789,TRAIN,Galaxy Survey,424,424,3,JPEG,68aac11e805abfbdaa2beedcb5acd94e5fcb7cf6b425b0cfa55e268384ff78f5
gz2_136279,gz2_136279.jpg,ml/data/domain_gate/astronomical/gz2_136279.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_136279,TRAIN,Galaxy Survey,424,424,3,JPEG,a193c4c499972d57986605592c67c9217acaced4b6d409e23eb32f49072410db
gz2_16261,gz2_16261.jpg,ml/data/domain_gate/astronomical/gz2_16261.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_16261,TRAIN,Galaxy Survey,424,424,3,JPEG,2b1ee7ac2860e1c0ad7e1af8ffe942a9913fd864d312d8a39589d923ed00711c
gz2_167339,gz2_167339.jpg,ml/data/domain_gate/astronomical/gz2_167339.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_167339,TRAIN,Galaxy Survey,424,424,3,JPEG,c2cd864615b8211b2e3a69591327a3aaa0f7296b4efb929f9f89bc330e101b6b
gz2_32339,gz2_32339.jpg,ml/data/domain_gate/astronomical/gz2_32339.jpg,Galaxy Zoo 2 (SDSS),ASTRONOMICAL,gz2_32339,TRAIN,Galaxy Survey,424,424,3,JPEG,c11f5c79e04cad357246b9ae76f8c2cbb8a4bafa49e4709b838d1ae7f236b38e
