path,category,expected_domain,source,notes,sha256
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_001.jpg,stellar_fields,ASTRONOMICAL,,,0dd1686325c8acffdd32ef302b8bb760d26158f629a0de59ab92eb2949a54e3f
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_002.jpg,stellar_fields,ASTRONOMICAL,,,e1ce2e5a0c8cf57d8a25d8fe175fc5d34c1ceba75d0be1ea9c89ff503b61b8c6
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_003.jpg,stellar_fields,ASTRONOMICAL,,,3c3b0a1c0b021519e6b79908cca6691ba1bee831fc5b54d2080ab46fc194edea
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_004.jpg,stellar_fields,ASTRONOMICAL,,,3d0a17930eead5bc42b03aae91c8e03214636f69d2371dd93c0eeac12976f913
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_005.jpg,stellar_fields,ASTRONOMICAL,,,026422b7da453c3167210a21e0fe8c05d0008d799104bac299308821ca4c493c
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_006.jpg,stellar_fields,ASTRONOMICAL,,,cfb5afa570fee9f04a3f3ea9100ac2cef3d84521370eca7e902a447384a28201
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_007.jpg,stellar_fields,ASTRONOMICAL,,,75115500a326096badce7e4218e0fd0765792d7efae4817ebd1bfda65e8f9109
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_008.jpg,stellar_fields,ASTRONOMICAL,,,698216718222bda3fd1b8d06b64629696f5ae188eab1a94b1232747120d8e6a7
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_009.jpg,stellar_fields,ASTRONOMICAL,,,3a0114786c4d614c6813954114cc37d9523ff20eeda64f27235a487cbe5413e2
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_010.jpg,stellar_fields,ASTRONOMICAL,,,67254e13e7bd16cfa421a9a97e3176c1e6f31668c17fe9c73d7fd78159eafbf9
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_011.jpg,stellar_fields,ASTRONOMICAL,,,09f4355fb297529aef6933e8be1b421b7776bdf4fb9ae92044a759b3eea69c0a
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_012.jpg,stellar_fields,ASTRONOMICAL,,,8d6996260c68dad7b3877251a53eb276fe1dbe6b4e65d40c53869c4753fae264
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_013.jpg,stellar_fields,ASTRONOMICAL,,,cf7b12bb85bd4802923416f987e27e94f5aa1998f7d448893fd4f5a1bc560607
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_014.jpg,stellar_fields,ASTRONOMICAL,,,528b831a457eeca54e1290ad7bea5c3bed38336522fc9827a061399c8e78935a
ml/data/domain_gate/adversarial_positive/stellar_fields/adv_pos_stellar_fields_015.jpg,stellar_fields,ASTRONOMICAL,,,9c7845aed173656eef7b3d660e87b94d777bc57eeb52dc075da06f6106f2b89f
ml/data/domain_gate/adversarial_positive/nebular_fields/adv_pos_nebular_fields_001.jpg,nebular_fields,ASTRONOMICAL,,,e7f1eb9e6d958bb19746fa5568ec0a786c97305eb19969f563c0b6e0b4775819
ml/data/domain_gate/adversarial_positive/nebular_fields/adv_pos_nebular_fields_002.jpg,nebular_fields,ASTRONOMICAL,,,e2e8e96bbcfdfd6876199deb254cad8a902d49e896bbf21494074eb5a07f22b9
ml/data/domain_gate/adversarial_positive/nebular_fields/adv_pos_nebular_fields_003.jpg,nebular_fields,ASTRONOMICAL,,,cdbb4da8c12eab1103a6f82a5eeacf842fbf8afaba772de97e919ab59ff17b27
