path,category,expected_domain,source,notes,sha256
ml/data/domain_gate/adversarial/animals/adv_neg_animals_001.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),1aa0e1509940d287bf82547b0a5c1758ab3a91514fcfd2f2f6cac1a11d90fddd
ml/data/domain_gate/adversarial/animals/adv_neg_animals_002.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),caa3005bcd99bdffe2c78209813fd6d825472f6afa117330bb173e634eaffdbb
ml/data/domain_gate/adversarial/animals/adv_neg_animals_003.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),a0ccb193726995609b1be56eb91d31e3d2dfaf25f8a51c1bec5c3a51d9319f2c
ml/data/domain_gate/adversarial/animals/adv_neg_animals_004.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),bff358362b759ed4db16de3a502413753e9ff914a9f614bc153fec000a3b7675
ml/data/domain_gate/adversarial/animals/adv_neg_animals_005.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),bb906f1f55a8e335bead3864b7276ee8d108bda71d3819acf58eb44d75ac54f8
ml/data/domain_gate/adversarial/animals/adv_neg_animals_006.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),5c3e111993e871a1bba6260bb91aeee450ef4c9f0690cc7b5f059dc61ec81e23
ml/data/domain_gate/adversarial/animals/adv_neg_animals_007.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),5df6cf06c8395f8002f7f4818611341a3c150cf36e01296ab377825eecf9db03
ml/data/domain_gate/adversarial/animals/adv_neg_animals_008.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),34a2fb637e8db6d94bde014b415f0b50de3543190ba507cf5bb31f2c3143d0cd
ml/data/domain_gate/adversarial/animals/adv_neg_animals_009.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),5262c10c8595bb61ea6aebe9761c9a81f020d96b30ee369a4dc377579a0b64c1
ml/data/domain_gate/adversarial/animals/adv_neg_animals_010.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),02ea17925648d3d48811eced26b914fce1796be4e7d9a39c832949b4671ef078
ml/data/domain_gate/adversarial/animals/adv_neg_animals_011.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),35220b5a7ce2db671619f926938cad2749ca169bc22290d0d590c1f5555513f7
ml/data/domain_gate/adversarial/animals/adv_neg_animals_012.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),750bab838c987f042e078b466d938cc1c84b32015a45842a79a2cfc1c5fae041
ml/data/domain_gate/adversarial/animals/adv_neg_animals_013.jpg,animals,NON_ASTRONOMICAL,ASTRA Adversarial Suite (animals),Leopard fur rosette pattern (dark background with high-contrast spot rosettes),a427c980fe8269f6c112e8962e0c2b97c6dcf097e9da722d1f43703c5d0a5548
